t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,-0,0,-0.70826,0.70595,0,0,0,0,0,0,0,0,0,0,0,0,0.10618,4.0616,4.0746,0.093232,0,0,0,-0.022656,-8255.5,13049
0.01,-5,4.5,1.2,0.012977,0.012887,-0.7084,0.70557,-5.2938e-06,-0.0012931,0.0019752,0.03024,6.6266,0.0003729,-0.0020881,-0.37986,0.57326,0,0,0,1.1479,3.2642,3.2283,1.1884,-0.61188,-72.792,107.06,-116.62,-6346.7,8495.4
0.02,-5,4.5,1.2001,0.0419,0.041289,-0.70856,0.70319,-8.0087e-05,-0.0097171,0.01431,0.098885,8.9693,0.0039564,-0.015564,-1.3965,2.0024,0,0,0,2.3446,2.6989,2.6592,2.405,-2.2225,-127.78,172.45,-200.24,-4692.4,4704.4
0.03,-5,4.4998,1.2003,0.074022,0.072306,-0.70695,0.69965,-0.00038281,-0.030791,0.043603,0.17693,8.7047,0.012489,-0.048812,-2.8844,3.9079,0,0,0,3.1466,2.7914,2.7635,3.2108,-4.5161,-167.43,203.51,-253.66,-3275.6,1619.7
0.04,-5,4.4993,1.201,0.1037,0.10028,-0.7039,0.69549,-0.0011404,-0.0685,0.093018,0.25178,7.7051,0.024601,-0.1072,-4.7016,5.9808,0,0,0,3.7109,3.2675,3.2518,3.7717,-7.2045,-194.03,207.01,-279.68,-2079.3,-814.95
0.05,-5,4.4983,1.2023,0.13008,0.12432,-0.6998,0.69131,-0.0026196,-0.12552,0.16296,0.32272,6.7973,0.038482,-0.19335,-6.7285,7.9771,0,0,0,4.1931,3.8639,3.8564,4.2493,-10.028,-209.7,189.19,-281.08,-1086.7,-2656
0.06,-5.0001,4.4967,1.2043,0.15401,0.14522,-0.69474,0.68741,-0.0051007,-0.20344,0.25168,0.39375,6.1893,0.053002,-0.30742,-8.8656,9.7123,0,0,0,4.6363,4.4509,4.448,4.6889,-12.753,-216.39,155.68,-260.65,-280.82,-3959.7
0.07,-5.0001,4.4942,1.2074,0.17662,0.16396,-0.68857,0.68395,-0.0088546,-0.30293,0.35589,0.47072,5.8758,0.067507,-0.4474,-11.032,11.056,0,0,0,5.0335,4.9738,4.9725,5.0835,-15.177,-215.88,111.59,-221.17,355.36,-4782.5
0.08,-5.0002,4.4906,1.2115,0.19898,0.18134,-0.68095,0.68105,-0.014122,-0.42397,0.47121,0.56121,5.8036,0.081436,-0.60937,-13.165,11.924,0,0,0,5.3686,5.4097,5.4076,5.4164,-17.123,-209.79,61.448,-165.44,838.76,-5180.7
0.09,-5.0004,4.4856,1.2168,0.222,0.19785,-0.67125,0.67896,-0.021097,-0.56595,0.59265,0.67666,5.9178,0.094006,-0.78776,-15.214,12.278,0,0,0,5.6317,5.7511,5.7454,5.6766,-18.441,-199.56,9.2088,-96.249,1186.3,-5210.6
