t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,-0,0,-0.70675,0.70747,0,0,0,0,0,0,0,0,0,0,0,0,0.097829,4.07,4.066,0.10182,0,0,0,0.13479,-8254.9,11061
0.01,-5,4.5,1.2,0.013077,0.013105,-0.70654,0.70743,1.6569e-06,-0.0012974,0.0016939,-0.009409,6.772,-0.00011738,0.0006518,-0.38158,0.49365,0,0,0,1.0855,3.2958,3.3071,1.0728,0.19054,-73.294,93.011,36.259,-6441.6,7629.1
0.02,-5,4.4999,1.2001,0.04276,0.042953,-0.70497,0.70665,2.496e-05,-0.0097825,0.012425,-0.0312,9.4403,-0.0012871,0.0048482,-1.4092,1.7545,0,0,0,2.2711,2.6822,2.695,2.2514,0.69264,-129.57,154.28,62.622,-4848.3,4707.3
0.03,-5,4.4998,1.2003,0.076091,0.076636,-0.70182,0.70412,0.00011935,-0.0311,0.03836,-0.056344,9.2871,-0.0041737,0.015234,-2.9233,3.49,0,0,0,3.1132,2.679,2.6879,3.0919,1.4139,-170.95,188.75,80.274,-3462,2262.7
0.04,-5,4.4993,1.2009,0.10646,0.10755,-0.69761,0.70031,0.00035627,-0.069405,0.082986,-0.080286,8.1392,-0.0083538,0.033584,-4.7852,5.4555,0,0,0,3.7046,3.1009,3.1056,3.6843,2.2726,-199.45,201.02,90.262,-2269.9,262.06
0.05,-5,4.4983,1.202,0.13234,0.13416,-0.69304,0.69583,0.000821,-0.12756,0.14756,-0.1023,6.9573,-0.013173,0.060904,-6.8757,7.4506,0,0,0,4.2082,3.6953,3.6969,4.1896,3.1971,-216.95,195.36,93.634,-1259,-1327.7
0.06,-5,4.4966,1.2039,0.15427,0.15704,-0.68849,0.69103,0.0016055,-0.20734,0.23156,-0.12336,6.0409,-0.018235,0.097542,-9.0934,9.3161,0,0,0,4.6885,4.3196,4.3194,4.6713,4.1267,-225.19,175.72,91.44,-416.6,-2539.7
0.07,-5,4.4941,1.2067,0.17329,0.17724,-0.68411,0.68597,0.0028022,-0.30957,0.33304,-0.14503,5.4175,-0.023388,0.14329,-11.354,10.93,0,0,0,5.148,4.9088,4.9077,5.1315,5.0109,-225.8,145.72,84.727,270.34,-3406.9
0.08,-4.9999,4.4904,1.2106,0.19034,0.19576,-0.67991,0.68057,0.0044994,-0.43434,0.44904,-0.16914,5.0392,-0.028618,0.19747,-13.589,12.207,0,0,0,5.5704,5.4336,5.4321,5.554,5.8097,-220.26,108.62,74.544,814.68,-3962.6
0.09,-4.9999,4.4853,1.2157,0.20611,0.21339,-0.67588,0.67466,0.0067765,-0.58108,0.57586,-0.19797,4.8505,-0.033968,0.2591,-15.743,13.089,0,0,0,5.9392,5.8797,5.8783,5.9221,6.4937,-209.94,67.392,61.94,1229.3,-4239.7
