t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,1.2,-0,0,-0.4126,0.91091,0,0,0,0,0,0,0,0,0,0,0,0,0.07596,0.076042,0.076042,0.07596,0,0,0,2.4592,-2.8037,-1.347
0.01,1.0208e-09,-1.1635e-09,1.2,3.8962e-06,8.6043e-06,-0.4126,0.91091,4.0795e-07,-4.6491e-07,-2.2315e-07,-9.211e-07,0.0037657,-4.8427e-12,0.00012219,-0.00013924,-6.6812e-05,0,0,0,0.075961,0.076041,0.076041,0.075961,0.024362,-0.027753,-0.013309,2.4133,-2.7469,-1.3149
0.02,1.6272e-08,-1.854e-08,1.2,1.5474e-05,3.4197e-05,-0.4126,0.91091,3.2483e-06,-3.7004e-06,-1.7745e-06,-4.8913e-06,0.0074577,-7.7002e-11,0.00048572,-0.00055317,-0.00026511,0,0,0,0.07596,0.076038,0.076038,0.07596,0.048268,-0.054939,-0.026298,2.3678,-2.6905,-1.2831
0.03,8.2069e-08,-9.3475e-08,1.2,3.4567e-05,7.6449e-05,-0.4126,0.91091,1.0912e-05,-1.2425e-05,-5.9531e-06,-1.1873e-05,0.011077,-3.8741e-10,0.001086,-0.0012362,-0.00059173,0,0,0,0.075958,0.076035,0.076035,0.075958,0.07172,-0.081565,-0.038971,2.3227,-2.6347,-1.2516
0.04,2.584e-07,-2.9422e-07,1.2,6.1014e-05,0.00013504,-0.4126,0.91091,2.5743e-05,-2.9302e-05,-1.4026e-05,-2.1829e-05,0.014624,-1.2168e-09,0.0019186,-0.0021826,-0.0010435,0,0,0,0.075956,0.076031,0.076031,0.075955,0.094723,-0.10763,-0.051331,2.2779,-2.5792,-1.2203
0.05,6.285e-07,-7.1538e-07,1.2,9.4652e-05,0.00020964,-0.4126,0.91091,5.0043e-05,-5.6937e-05,-2.723e-05,-3.4722e-05,0.0181,-2.9525e-09,0.002979,-0.003387,-0.0016173,0,0,0,0.075952,0.076025,0.076026,0.075952,0.11728,-0.13315,-0.063379,2.2335,-2.5243,-1.1894
0.06,1.2984e-06,-1.4773e-06,1.2,0.00013532,0.00029995,-0.4126,0.91091,8.6068e-05,-9.7883e-05,-4.6769e-05,-5.0516e-05,0.021505,-6.0847e-09,0.0042627,-0.0048438,-0.0023101,0,0,0,0.075947,0.076019,0.07602,0.075947,0.13939,-0.15812,-0.07512,2.1895,-2.4698,-1.1588
0.07,2.3963e-06,-2.7257e-06,1.2,0.00018287,0.00040564,-0.4126,0.91091,0.00013603,-0.00015464,-7.3817e-05,-6.9176e-05,0.024841,-1.1203e-08,0.0057654,-0.0065476,-0.0031187,0,0,0,0.075942,0.076012,0.076013,0.075941,0.16107,-0.18255,-0.086556,2.1458,-2.4159,-1.1284
0.08,4.0726e-06,-4.6309e-06,1.2,0.00023713,0.00052641,-0.4126,0.91091,0.00020209,-0.00022964,-0.00010952,-9.0665e-05,0.028108,-1.8996e-08,0.0074827,-0.008493,-0.0040402,0,0,0,0.075935,0.076004,0.076005,0.075935,0.18231,-0.20644,-0.097689,2.1025,-2.3623,-1.0984
0.09,6.4989e-06,-7.3874e-06,1.2,0.00029797,0.00066195,-0.4126,0.91091,0.00028638,-0.00032528,-0.00015499,-0.00011495,0.031307,-3.0241e-08,0.0094103,-0.010675,-0.0050715,0,0,0,0.075928,0.075996,0.075996,0.075928,0.20312,-0.2298,-0.10852,2.0596,-2.3093,-1.0686
0.1,9.868e-06,-1.1213e-05,1.2,0.00036521,0.00081196,-0.4126,0.91091,0.00039098,-0.0004439,-0.0002113,-0.00014199,0.034439,-4.5811e-08,0.011544,-0.013087,-0.0062097,0,0,0,0.07592,0.075986,0.075987,0.07592,0.22351,-0.25263,-0.11906,2.017,-2.2567,-1.0391
