t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,-0,0,-0.47759,0.87858,0,0,0,0,0,0,0,0,0,0,0,0,0.075954,0.076049,0.076049,0.075954,0,0,0,2.3645,-3.6494,0.74505
0.01,-5,4.5,1.2,5.2605e-06,9.6783e-06,-0.47759,0.87858,3.9227e-07,-6.0532e-07,1.2361e-07,-4.4947e-07,0.0043923,-2.7527e-12,0.0001175,-0.00018131,3.7027e-05,0,0,0,0.075955,0.076048,0.076048,0.075955,0.023428,-0.036145,0.0073829,2.3211,-3.5798,0.73156
0.02,-5,4.5,1.2,2.0905e-05,3.8471e-05,-0.47759,0.87858,3.1237e-06,-4.8194e-06,9.844e-07,-2.3886e-06,0.0087011,-4.387e-11,0.00046711,-0.0007206,0.00014721,0,0,0,0.075957,0.076048,0.076048,0.075957,0.046424,-0.071598,0.014632,2.2781,-3.5108,0.71818
0.03,-5,4.5,1.2,4.6727e-05,8.6016e-05,-0.47759,0.87858,1.0494e-05,-1.6188e-05,3.3072e-06,-5.8055e-06,0.012927,-2.2121e-10,0.0010445,-0.001611,0.00032921,0,0,0,0.075959,0.076049,0.076049,0.075959,0.068992,-0.10636,0.021747,2.2355,-3.4423,0.7049
0.04,-5,4.5,1.2,8.2524e-05,0.00015195,-0.47759,0.87858,2.476e-05,-3.8186e-05,7.8036e-06,-1.0688e-05,0.017071,-6.9633e-10,0.0018455,-0.0028456,0.00058171,0,0,0,0.075962,0.07605,0.07605,0.075962,0.091135,-0.14045,0.02873,2.1932,-3.3744,0.69172
0.05,-5,4.5,1.2,0.00012809,0.00023593,-0.47759,0.87858,4.8136e-05,-7.4224e-05,1.5172e-05,-1.7025e-05,0.021132,-1.6932e-09,0.0028658,-0.0044176,0.00090337,0,0,0,0.075965,0.076051,0.076051,0.075965,0.11286,-0.17385,0.035582,2.1513,-3.3071,0.67865
0.06,-5,4.5,1.2,0.00018323,0.00033758,-0.47759,0.87858,8.2794e-05,-0.00012764,2.6097e-05,-2.4803e-05,0.025112,-3.4968e-09,0.0041013,-0.0063204,0.0012929,0,0,0,0.075969,0.076053,0.076054,0.075969,0.13416,-0.20659,0.042303,2.1096,-3.2403,0.66568
0.07,-5,4.5,1.2,0.00024774,0.00045656,-0.47759,0.87858,0.00013086,-0.00020171,4.1252e-05,-3.4011e-05,0.029011,-6.4518e-09,0.0055477,-0.0085472,0.001749,0,0,0,0.075973,0.076056,0.076056,0.075973,0.15505,-0.23866,0.048895,2.0684,-3.174,0.65281
0.08,-5,4.5,1.2,0.00032142,0.00059251,-0.47759,0.87858,0.00019444,-0.00029964,6.1295e-05,-4.4636e-05,0.03283,-1.0961e-08,0.0072009,-0.011091,0.0022704,0,0,0,0.075978,0.076059,0.076059,0.075978,0.17553,-0.27007,0.05536,2.0274,-3.1083,0.64005
0.09,-5,4.5,1.2,0.00040408,0.00074509,-0.47759,0.87858,0.00027556,-0.00042458,8.6873e-05,-5.6666e-05,0.036569,-1.7486e-08,0.0090569,-0.013946,0.0028558,0,0,0,0.075984,0.076063,0.076063,0.075984,0.1956,-0.30083,0.061697,1.9868,-3.0431,0.62738
